Wavelength,I,Incrament,,Ambient Air
655.88985,0.40376,,,
655.8899,0.40364,,,
655.88995,0.40376,,,
655.89,0.40394,,,
655.89005,0.40358,,,
655.8901,0.40376,,,
655.89015,0.40382,,,
655.8902,0.40376,,,
655.89025,0.40358,,,
655.8903,0.40388,,,
655.89035,0.4037,,,
655.8904,0.4037,,,
655.89045,0.4037,,,
655.8905,0.40388,,,
655.89055,0.40364,,,
655.8906,0.4037,,,
655.89065,0.40358,,,
655.8907,0.40382,,,
655.89075,0.40406,,,
655.8908,0.4037,,,
655.89085,0.40376,,,
655.8909,0.40351,,,
655.89095,0.40364,,,
655.891,0.40376,,,
655.89105,0.404,,,
655.8911,0.40425,,,
655.89115,0.40382,,,
655.8912,0.4037,,,
655.89125,0.40364,,,
655.8913,0.40364,,,
655.89135,0.40382,,,
655.8914,0.40425,,,
655.89145,0.40382,,,
655.8915,0.40351,,,
655.89155,0.40358,,,
655.8916,0.40419,,,
655.89165,0.40358,,,
655.8917,0.40358,,,
655.89175,0.40376,,,
655.8918,0.40376,,,
655.89185,0.40388,,,
655.8919,0.40382,,,
655.89195,0.40351,,,
655.892,0.40376,,,
655.89205,0.40388,,,
655.8921,0.40382,,,
655.89215,0.40376,,,
655.8922,0.40376,,,
655.89225,0.40364,,,
655.8923,0.40376,,,
655.89235,0.40382,,,
655.8924,0.40394,,,
655.89245,0.40364,,,
655.8925,0.40382,,,
655.89255,0.40358,,,
655.8926,0.40406,,,
655.89265,0.40364,,,
655.8927,0.40412,,,
655.89275,0.40376,,,
655.8928,0.40388,,,
655.89285,0.40394,,,
655.8929,0.40394,,,
655.89295,0.4037,,,
655.893,0.404,,,
655.89305,0.40406,,,
655.8931,0.4037,,,
655.89315,0.40388,,,
655.8932,0.40358,,,
655.89325,0.40419,,,
655.8933,0.40376,,,
655.89335,0.40376,,,
655.8934,0.40364,,,
655.89345,0.40412,,,
655.8935,0.4037,,,
655.89355,0.40376,,,
655.8936,0.4037,,,
655.89365,0.40394,,,
655.8937,0.40437,,,
655.89375,0.40388,,,
655.8938,0.40382,,,
655.89385,0.404,,,
655.8939,0.4037,,,
655.89395,0.40388,,,
655.894,0.40376,,,
655.89405,0.4037,,,
